spcd,band,id,year,month,day,sex,sex_method,age,wing,tarsus,wt,fat,lean,mlos,last_day,depart_night,depart_type,depart_time,array_nights
BTBW,2690-64515,417,2014,5,10,f,plum,SY,60,18.49,10.3,1.54,7.2,18,5/27/2014,5/27/2014,Interrupted,1.600638029,2
BTBW,2690-64526,418,2014,5,12,m,plum,SY,65,18.12,9.5,0.22,7.61,10,5/21/2014,5/21/2014,Uninterrupted,0.688312828,1
BTBW,2690-64549,419,2014,5,16,m,plum,SY,62,18.67,10.4,1.71,7.1,1,5/16/2014,5/16/2014,NA,NA,0
BTBW,2690-64538,420,2014,5,14,f,plum,ASY,62,18.24,9.6,0.88,7.07,NA,NA,NA,NA,NA,NA
BTBW,2690-64520,421,2014,5,11,m,plum,SY,67,19.01,10.5,1.21,7.55,3,5/13/2014,5/13/2014,LPBOTIP,2.237844077,9
BTBW,2690-64524,422,2014,5,12,f,plum,ASY,61,17.78,9.1,0.79,6.7,1,5/12/2014,5/12/2014,Uninterrupted,1.686102719,1
MAWA,2670-80626,423,2014,5,13,f,mol,ASY,56,17.51,8,0.28,6.14,6,5/13/2014,5/18/2014,PostRelocation,NA,1
BTBW,2690-64517,424,2014,5,11,f,plum,ASY,58,17.51,9.8,1.41,6.86,10,5/20/2014,5/20/2014,Interrupted,NA,2
BTBW,2690-64543,425,2014,5,14,m,plum,SY,62,18.67,9.3,0.64,7.08,11,5/24/2014,5/24/2014,Interrupted,1.227306934,2
BTBW,2690-64534,426,2014,5,14,f,plum,SY,60,18.1,9.5,1.14,6.78,2,5/14/2014,5/15/2014,Interrupted,NA,12
MAWA,2670-80629,427,2014,5,13,NA,mol,SY,57,17.36,8.7,1.13,6.25,1,5/13/2014,5/13/2014,Uninterrupted,0.662289413,1
BTBW,2690-64518,428,2014,5,11,f,plum,ASY,61,18.78,9.9,1.41,6.93,1,5/11/2014,5/11/2014,Uninterrupted,1.381715324,1
BTBW,2690-64532,429,2014,5,14,f,plum,ASY,61,18.64,10,1.15,7.09,NA,NA,NA,NA,NA,0
MAWA,2670-80617,430,2014,5,12,NA,mol,ASY,56,16.84,8,0.18,6.37,NA,NA,NA,NA,NA,0
BTBW,2690-64680,431,2014,5,15,f,plum,ASY,60,17.97,10.3,1.51,7.14,11,5/25/2014,5/25/2014,Uninterrupted,1.398412753,1
MAWA,2670-80636,432,2014,5,13,m,mol,ASY,54,17.6,6.9,0.15,5.37,1,5/13/2014,5/13/2014,Uninterrupted,2.418955277,1
MAWA,2670-80631,433,2014,5,13,NA,mol,SY,57,17.76,8.3,0.52,6.22,1,5/13/2014,5/13/2014,Interrupted,1.254789413,9
MAWA,2670-80633,434,2014,5,13,NA,mol,ASY,61,17.48,9.2,0.83,6.82,9,5/13/2014,5/21/2014,PostRelocation,NA,1
MAWA,2670-80639,435,2014,5,14,f,mol,ASY,60,17.44,7.5,0.14,5.88,NA,NA,NA,NA,NA,0
